Question,Answer
"Who said this, ‘there shall be neither dew nor rain these years except by my word?’",Correct: Elijah
"In the case before Solomon over the dead and the living child, the mother of the dead child supported",Correct: giving the living child to her opponent
"Before Moses died, God appointed ... to succeed him.",Correct: Joshua
The treatment for those bitten by the fiery serpent was to,Correct: look at the bronze serpent
"In order that Benjamin might be brought to Egypt, Joseph detained",Correct: Simeon
"When Joseph’s brother came to him in Egypt, he said to them, ‘You are...’",Correct: spies
Sarah gave birth to... in her old age.,Correct: Isaac
"As a condition of his covenant with God, Abraham had to",Correct: circumcise every male
What was the condition of the earth before the creation of the world?,Correct: The earth was without form and void.
God wanted to destroy the world because,Correct: the earth was filled with violence.
What did Adonijah do to show that he feared Solomon?,Correct: caught hold of the horns of the altar
Where did Solomon get the timber for his building?,Correct: Lebanon
"According to Jeremiah’s prophecy, the domination of nations by Nebuchadnezzar was",Correct: part of the divine purpose
Ezekiel was ordered to eat... and then go to speak to the house of Israel.,Correct: a scroll
The place where Abraham was asked to sacrifice Isaac was,Correct: Moriah
The one who was to be the wife of Isaac was known,"Correct: because she said ‘Drink, and I will water your camels’"
Achan was,Correct: the one who took some of the devoted things when Jericho fell
How is it you were not afraid to put forth your hand to destroy the Lord’s anointed? was said by,Correct: David to Saul when Saul attacked him with a spear
The prophet regularly addressed as ‘son of man’ was,Correct: Ezekiel
What was the last miracle God performed before the Israelites were released from Egypt?,Correct: The slaughter of the first born.
Who was the prophet who proved on Mount Carmel that Yahweh is greater than Baal?,Correct: Elijah
On the third day of creation God made,Correct: light
The Lord said to Moses: Cut two tablets of stone like the first; and I will write upon the tablets the words that were upon the first tablets which you broke. On what occasion was this said?,Correct: At the renewal of the Covenant.
