Question,Option A,Option B,Option C,Option D
1. Which Use of English Paper Type is given  to,you?,A. Type A,B. Type B,C. Type C
"2. According to the writer, the exciting  thing",about Spaceship Earth is  that,A. has no instruction  manual,B. it is not difficult to  maintain,C. is peculiar to other  automobiles
3. The absence of instruction manual  in,Spaceship Earth  has,A. made the operation of the Spaceship  Earth,difficult,B. forced man to devise other means  of
"4. From the passage, it can be deduced  that",man,A. learns by experiment and  education,B. learns by chance and  accidentally,C. is incapable of solving all his  problems
5. The writer’s mood in the passage is that  of,A. non-committal,B. pessimism,C. optimism  D. frustration,PASSAGE II
"6. The expression, … stress is an issue","everybody can relate to experimentally, means",that,A. it is better understood when  experienced,B. its problem can be solved by  everybody
7. Which of the following is true according  to,the passage?,A. Stress is mostly caused by internal  factors,B. Stress can only be avoided during  relaxation,C. Stress is better handled by the  individual
"8. According to the passage, the major step  in",controlling stress  is,A. changing one’s attitude to  stressors,B. understanding the history of  disease,C. visiting family doctors for check -up and
9. The experts feel one can control one’s  stress,because,A. its causes are  understandable,B. it is not difficult to  control,C. external factors contribute less  stress
"10. From the passage, it can be deduced that",stress is A. hormonal disorder in the body  system,B. individually induced  problems,C. bodily reaction to internal  factors,D. bodily reaction to external  factors
"11. According to the writer, corruption  is",triggered off  by,A. unnecessary  affluence  B. selfish  interest,C. private  officials,D. public  officers
"12. From the passage, one of the",consequences of corruption is  that,A. large projects are  executed,B. it is beneficial to wealth people whole  stole,public  wealth
"13. Who, according to the writer  should",prevent  corruption?,A. Lawyers and  Police,B. Corrupt public  officers,C. The government
14. Which of the following is an indication  of,ethical standard of  governance?,A. Fundamental human  right,B. Socio -economic  instability,C. Democratic  governance
"15. The essence of fighting corruption,","according to the passage, is  to",A. send the corrupt to  yell,B. promote good  governance,C. punish corrupt  politicians
"26. Though Mr. Iro is a new chairman, he views",other members with jaundiced  eye.,A. He takes a rather forceful position on  dealing,with his  members,B. He takes an unfavourable  position
27. People are not interested in who  rules.  A. People are not ruled by the leaders  they,want,B. People are not concerned about who rules,them C. The rulers are not concerned about  the,people D. People who rule are not interested in
28. It was good to steer a middle course  in,whatever one  does.,A. It is always good to get midway in  anything,one does,B. It is always good to act with  moderation
29. The witness said he had no axe to  grind,with his  brothers,A. He had no hatred for the  brothers,B. He had no axe and therefore stole  the,matchet
30. The footballers moved with their  tails,between their  legs.,A. they moved happily because they won the,match  B. they were unhappy because they had,been despised by their opponents
31. The headmaster managed to talk his  way,out of having to give a  speech,A. he delivered a speech despite the  difficulty,B. he managed to give a speech out of  a,difficult  situation
"32. As regards the matter, we have crossed the",rubicon,A. we are completely at a  loss,B. we are irrevocably  committed,C. we are already  qualified
33. Uche is full of  himself,A. He is conceited,B. He is complete  C. He is a rich  man,D. He is careful.  39. His father surmounted the myriad of,obstacles on his  way
"34. As debutants in that tournament, the Super",Eagles were up against their first opponents by,three goals to  nill,A. The Super Eagles were playing in the,"tournament for the first  time, but they  won"
35. The woman was mournful as her  husband,was found dead  drunk,A. She was sad because of her husband was,absolutely  drunk,B. She was apprehensive that her husband
36. I am optimistic about the interview though,it was a mind-bending  exercise,A. An enervating,B. A debilitating,C. A difficult
37. The trader was amused by the cut-throat,rush for the goods,A. Worrisome,B. Strange,C. Lacklustre
38. The teacher said that Ali’s essay was full  of,many redundant  details,A. Unexplained,B. Strange,C. Necessary
40. Her ingenuous smile drew our  attention,A. Witty,B. Naïve,C. Clever,D. Arrogant
41. Ndeni gave a flawless speech at the  party,A. A wonderful,B. A careless,C. An interesting,D. An imperfect
"42. Beneath Ado’s guff exterior, he’s really  very",kind-hearted,A. Nice,B. Harsh,C. Rough
43. The captain says sports is being  debased,by commercial sponsorship,A. Localized,B. Perverted,C. Elevated
44. Governing a country is not always  as,straightforward as people sometimes imagine,A. Complicated,B. Troublesome,C. Untoward
45. The crowd was very receptive to the,speaker’s  suggestion,A. Disobedient,B. Repellent,C. Alert
46. There was a general acquiescence on the,new drug  law,A. Resistance,B. Discrepancy,C. Compromise
48. The report of the committee contained  a,plethora of details,A. Shortage,B. Simplicity,C. Multitude
49. The weather was still very heavy and  sultry,A. Wintry and shadowy B. Cold and friendly,C. Cloudy and thundery D. Hot and,uncomfortable,
50. Ada gave her husband a look that made,words superfluous A. Redundant B. Spurious C.,Unnecessary D.  Scanty,"In each of questions 51 to 65, choose the",option nearest in meaning to the word or
51. A political Impasse does not offer the  best,opportunity for merrymaking A. manifesto B.,party C. gridlock D.  rally,,
52. We were all enthusiastic as we awaited  the,result of the election A. bemused B. agitated,C.elated  D.nervous,,
