Question,Options,Correct Answer,Explanation
"Who said this, ‘there shall be neither dew nor rain these years except by my word?’","['A. Elisha', 'B. Ezekiel', 'C. Elijah', 'D. Obadiah', 'E. Nehemiah']",C,The correct answer is Elijah because he was the prophet who declared the drought as a judgment from God to King Ahab.
"In the case before Solomon over the dead and the living child, the mother of the dead child supported","['A. giving the living child to her opponent', 'B. killing the living child', 'C. joint ownership of the living child', 'D. King Solomon having the living child', 'E. state ownership of the living child']",A,The correct answer is A. The real mother of the living child was willing to give up her child to save its life.
"Before Moses died, God appointed ... to succeed him.","['A. Joshua', 'B. Aaron', 'C. Eleazar', 'D. Balaam', 'E. Manasseh']",A,"The correct answer is Joshua, who was appointed by God to lead the Israelites after Moses."
The treatment for those bitten by the fiery serpent was to,"['A. drink from the Red Sea', 'B. look at the bronze serpent', 'C. fast for seven days', 'D. call upon the Lord', 'E. repent']",B,The correct answer is B. God instructed the Israelites to look at the bronze serpent for healing after they were bitten.
"In order that Benjamin might be brought to Egypt, Joseph detained","['A. Reuben', 'B. Levi', 'C. Judah', 'D. Simeon', 'E. Zebulon']",D,The correct answer is D. Joseph detained Simeon to ensure that his brothers would return with Benjamin.
"When Joseph’s brothers came to him in Egypt, he said to them, ‘You are...’","['A. spies', 'B. robbers', 'C. traitors', 'D. sinners', 'E. war-mongers']",A,The correct answer is A. Joseph accused his brothers of being spies when they came to him in Egypt.
Sarah gave birth to... in her old age.,"['A. Joseph', 'B. Isaac', 'C. Jacob', 'D. Simeon', 'E. Benjamin']",B,"The correct answer is B. Sarah gave birth to Isaac, who was a miracle child in her old age."
"As a condition of his covenant with God, Abraham had to","['A. circumcise every male', 'B. sacrifice to God every month', 'C. keep the Sabbath', 'D. pray to God daily', 'E. recite the Shema.']",A,The correct answer is A. God commanded Abraham to circumcise every male as a sign of the covenant.
What was the condition of the earth before the creation of the world?,"['A. The earth was without form and void', 'B. There was a firmament above the earth', 'C. Light infrequently penetrated the earth', 'D. The heaven was very close to the earth', 'E. The earth was inhabited by angels and spirits.']",A,The correct answer is A. Genesis 1:2 describes the earth as being without form and void before creation.
God wanted to destroy the world because,"['A. Adam and Eve disobeyed him', 'B. Cain killed Abel his brother', 'C. The sons of God were taking the daughters of men as wives', 'D. The people made a tower of Babel to get to heaven', 'E. The earth was filled with violence.']",E,The correct answer is E. God decided to destroy the world because it was filled with violence (Genesis 6:11).
