# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

USE OF ENGLISH 1978 COMPREHENSION,
Read each passage carefully and answer the questions that follows it.,
PASSAGE A,
,"All over the world till lately and in most of the world till today, mankind has been following the course of"
"nature: that is to say, it has been breeding up to the maximum. To let nature, take her course in the",
reproduction of the human race may have made sense in an age in which we were also letting her take her,
"course in decimating mankind by the casualties of war, pestilence, and famine. Being human, we have at least",
revolted against that senseless waste. We have started to impose on nature’s heartless play a humane new,
"order of our own. But when once man has begun to interfere with nature, he cannot afford to stop half way.",
"We cannot, with impunity, cut down the death-rate and at the same time, allow the birthrate to go on taking",
"nature’s course. We must consciously try to establish an equilibrium, or sooner or later, famine will stalk",
abroad again.,
1. The author observes that,
"A. war, pestilence and famine were caused by taiko the extravagance of nature",
B. Nature was heartless and senseless,
C. there was a time when uncontrolled birth made sense,
D. It was wise at a time when mankind did not interfere with normal reproduction,
E. nature was heartless in its reproductive process,
2. Which of these statements does not express the option of the author?,
A. Mankind has started to interfere with the work of nature,
B. Many people had died in the past through want and disease,
C. Mankind should not have the maximum number of children possible,
D. Mankind should take care of its children,
E. ' Man's present relationship with nature in matters of birth and death is a happy one.,
"3. Humane, as used in the passage means",
A. sensible,
B. wise,
C. human,
D. benevolent,
E. thorough,
"4. 'We must consciously try to establish an equilibrium, implies that mankind must",
A. realistically find an equation,
B. strive not to be wasteful,
C. deliberately try to fight nature,
D. try to fight nature,
E. purposely find a balance,www.myschoolgist.com
5. The main idea of this passage is that,
A. nature is heartless,
B. man should control the birth rate,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

C. mankind will soon perish of starvation,
D. pestilence causes more death than war,
E. man should change-nature's course gradually,
PASSAGE B,
The endeavor to maintain proper standards of fairness in journalism must be pursued. It is fatally easy for the,
journalist to deviate from the straight path. There is his natural desire to make a story' and insidious,
temptation to twist facts to square with his paper's policy. Both are as indefensible as the framing of,
"misleading headlines for the sake of effect. The conscientious journalist must check any tendency to bias, and",
"guard against the dangers inherent in personal antipathies or friendships, and in traditional opposition",
"between rival schools of thought. When a political opponent, whose stupidity habitually provokes attack,",
"makes an effective speech, honesty requires that he be given credit for it. Where personal relationships might",
"make it easier and more congenial to keep silent than to criticize, the journalist must never forget his duty to",
the public and the supreme importance of recording the truth.,
6. When may a journalist have to act against his own,
inclination?,
"A. ""When his friends act stupidly",
B. When he becomes weak and decrepit,
C. When his enemies make a mistake,
D. When his political opponents frame misleading headlines,
E. After he has been given a bribe,
7. A journalist would be able to uphold the tenets of his profession if,
A. he seeks publicity,
B. he tries to achieve popularity,
C. he resists temptation to bias,
D. he can manipulate his story to please his employers,
E. He tries to protect his friends,
8. 'Insidious' (line 2) means,
A. subtle,
B. wicked,
D. unusual,
E. wild,
C. natural,
9. A dutiful journalist must,
A. read widely,
B. have political acumen,
C. make no enemies but friends,www.myschoolgist.com
D. be able to make an effective speech,
E. be able to recognize merit wherever found,
10. The duty of the journalist to the public entails,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A giving credit to his political enemies,
B. keeping quiet when necessary,
C. trying to 'make a story',
D. telling the truth,
E. defending the weak,
PASSAGE C,
"So far, I have been speaking of science in its universality viewed from the perspective of the world at large. For",
in the context of our own country and our sister developing countries many of the factors. mentioned earlier,
"are not very important. For example, pollution, deterioration of the environment and population explosion",
"are not yet serious problems for us in this country. Let me now turn to a more specific area, namely, the",
question of scientific choice for developing countries. There is no doubt that the role which science and,
technology have played in the upliftment of the material and economic well-being of the developed nations,
"will, and does, influence the criteria that the Third World nations must choose in order to establish their",
science policies and priorities. But the criteria to be used by these nations do not have to be the same as,
those which have brought the developed countries to their present stage of evolution. For while human,
"beings have the same problems, their solutions, to be meaningful, will have to be sought within some relevant",
"frame of reference such as the available resources and expertise, social values, place and time in the historical",
scale.,
11. frame of reference in this passage means,
A. point of information,
B. range of authority,
C. economic pattern,
D. context of situation,
E. wholesome choice,
12. The writer apparently believes that through science and technology our country can achieve,
A. peace and order,
"B. ",progress and material success
C. social values and universality,
D. wealth and economic progress,
E. military development and power,
"13. According to the passage, the basic consideration",
for developing science and technology should be,
three of the following: 1. technical know-how 2. availability of raw materials 3. Atmospheric pollution 4. the,
people's tradition and beliefs 5. population 6. capital,
"A. 2, 1 and 6 only",
"B. 3, 2 and 4 only",
"C. 5, 3 and 6 only",
"D. 6, 5 and 4 only",www.myschoolgist.com
"E. 5, 2 and 6 only",
14. The main idea of this passage is that,
A. there is a yawning gap between the have and the have-nots,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"B. there is need to rid his countrymen from scourges of hunger, disease, ignorance and want",
C. there could be atmospheric pollution and population explosion,
D. the concerns of science and technology are the same in all countries,
E. each nation must plan its development according to its needs and resources,
15. the term 'our sister developing countries' implies,
"A. Britain, Gambia and Canada",
"B. Ghana, Germany and Togo",
"C. Russia, Switzerland and America",
"D. Liberia, Sierra-Leone and Gabon",
"E. China, India and Holland",
PASSAGE D,
"These two factors, the altitude and the weather, tend separately and together to defeat the climber. The",
"height weakness, slows him down, it forces him to spend days and night in the course of his assault on the",
"summit: the weather, besides adding to the demands of his energy and moral fortitude, conspires to deny him",
the time he needs to complete his mission Whereas in lower mountains and on easy ground the weather may,
"be no more than a handicap, in the high Himalayas it is decisive, regardless of terrain. The deduction to be",
"drawn from these two factors was clear enough. We must either so fortify ourselves that we could continue,",
"without detriment, to live and have our being above the limit of natural acclimatization, or better still, we",
"must solve the problem of speed. It was desirable, in fact, that we should meet both these requirements and",
thus give to those chosen to attempt the summit and to their supporting teams some measure of insurance,
"against the vagaries of the weather, for safety in mountain climbing is as much a matter of swiftness as of",
sureness of foot. Either or both could be achieved only by the administration of oxygen in sufficient quantities,
"to make up for the deficiency in the air, and for the duration of the upward journey above the limit of",
successful acclimatization.,
"16. The author believes that to overcome the problem of altitude and weather, the climber needs mainly",
A. courage and speed,
B. energy and moral fortitude,
C. sufficient quantities of oxygen,
D. swiftness and sureness of foot,
E. quick acclimatization,
17. 'conspires' (line 3) means,
А. ruins,
B. makes secret plans,
C. takes a wicked action,
D. combines,
E. aggravates,
www.myschoolgist.com,
18. regardless of terrain' (line 5) means,
А. even on easy ground,
B. despite the nature of the ground,
C. because of steeper gradients,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. swiftness and sureness of foot,
E. without considering the handicap.,
19. to live and have our being above the limit of natural acclimatization' (line 7) means,
A. to be protected from the effects of the weather,
B. to expect no protection from the bad weather,
C. to survive under unnatural weather conditions,
D. limit our natural desires to get acclimatized to the weather,
E. none of the above,
20. Which ONE of the following was NOT a reason for using oxygen?,
А. it gave them psychological encouragement,
B. it fortified them to live above the limit of natural acclimatization,
C. it protected them against the unexpected how changes of the weather,
D. It quickened their journey to the summit,
E. It helped them to survive the worst,
PASSAGE E,
You dare not lift the veil that protects our tribal marriage customs and ceremonies from the eyes of outsiders.,
There is already too little in this world that is sacred; and what Fatmata and I were required to go through,
"during the next week must remain so. I was deeply in debt by the time everything was over, but I was",
"absolutely satisfied with my parent's choice. Fatmata was as black as a satin, and as soft. She had the teeth",
and smile of a goddess. The Dopo tutors had done their job well; she was a complete efficient lover and,
"mother. I brought her home with swelling pride, and began at once to save all I could spare towards the cost",
of acquiring my second wife.,
